# Auto-generated offline OUI vendor mapping
# Generated by: tools/Import-OuiDataset.ps1
# Format: OUI,VENDOR
# OUI is 6 hex digits (first 3 bytes of a MAC)
# Source file: .\manuf

0000E9,Inc.
0000EA,Upnod        Upnod Ab
0000EB,MatsushitaCo Matsushita Comm. Ind. Co. Ltd.
0000EC,Microprocess Microprocess
0000ED,April        April
0000EE,Ltd.
0000EF,Kti          Kti
0000F0,Ltd
0000F1,MagnaCompute Magna Computer Corporation
0000F2,SpiderCommun Spider Communications
0000F3,GandalfData  Gandalf Data Limited
0000F4,Inc.
0000F5,DiamondSales Diamond Sales Limited
0000F6,AppliedMicro Applied Microsystems Corp.
0000F7,YouthKeepEnt Youth Keep Enterprise Co Ltd
0000F8,DigitalEquip Digital Equipment Corporation
0000F9,Quotron      Quotron Systems Inc.
0000FA,MicrosageCom Microsage Computer Systems Inc
0000FB,RechnerZurKo Rechner Zur Kommunikation
0000FC,Meiko        Meiko
0000FD,HighLevelHar High Level Hardware
0000FE,Inc.
0000FF,CamtecElectr Camtec Electronics Ltd.
000100,EquipTrans   Equip'Trans
000101,Private      Private
000102,3Com         3Com
000103,3Com         3Com
000104,Ltd.
000105,BeckhoffAuto Beckhoff Automation GmbH
000106,TewsDatentec Tews Datentechnik GmbH
000107,Leiser       Leiser GmbH
000108,Inc.
000109,Ltd.
00010A,CisTechnolog Cis Technology Inc.
00010B,Inc.
00010C,SystemTalks  System Talks Inc.
00010D,TeledyneDALS Teledyne DALSA Inc.
00010E,Ltd
00010F,BrocadeCommu Brocade Communications Systems LLC
000110,GothamNetwor Gotham Networks
000111,iDigm        iDigm Inc.
000112,SharkMultime Shark Multimedia Inc.
000113,Olympus      Olympus Corporation
000114,Ltd.
000115,Extratech    Extratech Corporation
000116,Inc.
000117,Canal        Canal +
000118,Ltd.
000119,RTUnet       RTUnet (Australia)
00011A,HoffmannundB Hoffmann und Burmeister GbR
00011B,Inc.
00011C,UniversalTal Universal Talkware Corporation
00011D,CentilliumCo Centillium Communications
00011E,Inc.
00011F,Inc.
000120,Oscilloquart Oscilloquartz S.A.
000121,Inc.
000122,Ltd.
000123,SchneiderEle Schneider Electric Japan Holdings Ltd.
000124,Acer         Acer Incorporated
000125,Ltd.
000126,PACLabs      PAC Labs
000127,OPENNetworks OPEN Networks Pty Ltd
000128,Inc.
000129,DFI          DFI Inc.
00012A,TelematicaSi Telematica Sistems Inteligente
00012B,Ltd.
00012C,Inc.
00012D,KomodoTechno Komodo Technology
00012E,PCPartner    PC Partner Ltd.
00012F,TwinheadInte Twinhead International Corp
000130,ExtremeNetwo Extreme Networks Headquarters
000131,Inc.
000132,DranetzBMI   Dranetz - BMI
000133,KYOWAElectro KYOWA Electronic Instruments C
000134,Selectron    Selectron Systems AG
000135,KDC          KDC Corp.
000136,CyberTANTech CyberTAN Technology Inc.
000137,ITFarm       IT Farm Corporation
000138,XAViTechnolo XAVi Technologies Corp.
000139,PointMultime Point Multimedia Systems
00013A,Ltd.
00013B,Bna          Bna Systems
00013C,Tiw          Tiw Systems
00013D,RiscStation  RiscStation Ltd.
00013E,AscomTateco  Ascom Tateco AB
00013F,Ltd.
000140,Sendtek      Sendtek Corporation
